image_path,question,GT,Pred,sub_tag,sub_sub_tag
164_1950.jpg,How many tools are visible in this scene?,zero,zero,No_Cue,Instrument_Count
164_1950.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,Yes,No_Cue,CVS
164_1950.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,Yes,No_Cue,CVS
164_1950.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,Yes,No_Cue,CVS
164_1950.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,Yes,No_Cue,CVS
164_2700.jpg,How many tools are visible in this scene?,one,one,No_Cue,Instrument_Count
164_2700.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,Yes,No_Cue,CVS
164_2700.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,Yes,No_Cue,CVS
164_2700.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,Yes,No_Cue,CVS
164_2700.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,Yes,No_Cue,CVS
164_3450.jpg,How many tools are visible in this scene?,one,one,No_Cue,Instrument_Count
164_3450.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,Yes,No_Cue,CVS
164_3450.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,Yes,No_Cue,CVS
164_3450.jpg,Is the lower third of the gallbladder detached from the liver bed?,Yes,No,No_Cue,CVS
164_3450.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,Yes,No,No_Cue,CVS
165_23650.jpg,How many tools are visible in this scene?,one,two,No_Cue,Instrument_Count
165_23650.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,Yes,No_Cue,CVS
165_23650.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,No,No,No_Cue,CVS
165_23650.jpg,Is the lower third of the gallbladder detached from the liver bed?,Yes,No,No_Cue,CVS
165_23650.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,No_Cue,CVS
165_24400.jpg,How many tools are visible in this scene?,two,two,No_Cue,Instrument_Count
165_24400.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,Yes,No_Cue,CVS
165_24400.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,No,No,No_Cue,CVS
165_24400.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,No,No_Cue,CVS
165_24400.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,No_Cue,CVS
166_12950.jpg,How many tools are visible in this scene?,three,three,No_Cue,Instrument_Count
166_12950.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,No,Yes,No_Cue,CVS
166_12950.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,No,No,No_Cue,CVS
166_12950.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,No,No_Cue,CVS
